OBJECTID,DISTRCTNAME,OBJECTID_2,NAME,STCOFIPS,ShapeSTArea,ShapeSTLength
1,Tekoa #265,2,Spokane County,"53063",49658966253.705,1020521.66429951
2,St. John #322,2,Spokane County,"53063",49658966253.705,1020521.66429951
3,Rosalia #320,2,Spokane County,"53063",49658966253.705,1020521.66429951
4,Orchard Prairie #123,2,Spokane County,"53063",49658966253.705,1020521.66429951
5,Deer Park #414,2,Spokane County,"53063",49658966253.705,1020521.66429951
6,Newport #56,2,Spokane County,"53063",49658966253.705,1020521.66429951
7,Mead #354,2,Spokane County,"53063",49658966253.705,1020521.66429951
8,Riverside #416,2,Spokane County,"53063",49658966253.705,1020521.66429951
9,Medical Lake #326,2,Spokane County,"53063",49658966253.705,1020521.66429951
10,Nine Mile Falls #325,2,Spokane County,"53063",49658966253.705,1020521.66429951
11,Cheney #360,2,Spokane County,"53063",49658966253.705,1020521.66429951
12,East Valley #361,2,Spokane County,"53063",49658966253.705,1020521.66429951
13,Spokane #81,2,Spokane County,"53063",49658966253.705,1020521.66429951
14,Liberty #362,2,Spokane County,"53063",49658966253.705,1020521.66429951
15,West Valley #363,2,Spokane County,"53063",49658966253.705,1020521.66429951
16,Freeman #358,2,Spokane County,"53063",49658966253.705,1020521.66429951
17,Central Valley #356,2,Spokane County,"53063",49658966253.705,1020521.66429951
18,Great Northern #312,2,Spokane County,"53063",49658966253.705,1020521.66429951
19,Reardan/Edwall #9,2,Spokane County,"53063",49658966253.705,1020521.66429951
